id,artist,title,mix,album,key,bpm,genre,datasets,output_filename
5061,Philippe Van Mullem,Canopy,Progress Mix,Bonzai Classics,D# minor,,Trance,beatport-edm,5061 Philippe Van Mullem - Canopy (Progress Mix).mp3
5881,"Brainbashers, Lance Madden",Realness,Brain Bashers Mix,Shock Records,A major,,Hard Dance,beatport-edm,"5881 Brainbashers, Lance Madden - Realness (Brain Bashers Mix).mp3"
7217,"Made By Monkeys, Salvatore, Focus",I Try,Salatore & Focus Remix,Star 69 Records,F minor,,Progressive House,beatport-edm,"7217 Made By Monkeys, Salvatore, Focus - I Try (Salatore & Focus Remix).mp3"
10089,Jason Sparks,Close My Eyes,,,D major,,breaks,giantsteps-key,10089 Jason Sparks - Close My Eyes.mp3
10359,"Oliver Klein, Ian Wilkie",RheinKraft,Ian Wilkie Remix,Maelstrom Records,D minor,,Trance,beatport-edm,"10359 Oliver Klein, Ian Wilkie - RheinKraft (Ian Wilkie Remix).mp3"
10981,Panic,Tasty Treat Beat,Original Mix,Casa Del Soul,X,,Tech House,beatport-edm,10981 Panic - Tasty Treat Beat (Original Mix).mp3
11077,Billy Paul Williams,Winter Heat,Original Mix,Kriztal Entertainment,G minor,,Electronica / Downtempo,beatport-edm,11077 Billy Paul Williams - Winter Heat (Original Mix).mp3
11194,Alek Biotic,Funk Matter,Original Mix,Gotham Grooves,D minor,,Techno,beatport-edm,11194 Alek Biotic - Funk Matter (Original Mix).mp3
14344,Oliver Prime,Velvet Sunshine,Original Mix,Synergetic Records,D minor,,Trance,beatport-edm,14344 Oliver Prime - Velvet Sunshine (Original Mix).mp3
14720,"Willie Morales, Robbie Rivera",Bang To The Beat,Robbie Rivera Mix,Juicy Music,D minor,,House,beatport-edm,"14720 Willie Morales, Robbie Rivera - Bang To The Beat (Robbie Rivera Mix).mp3"
16484,Kinder Atom,Slow Back,Original Mix,Nice & Smooth,A minor,,Techno,beatport-edm,16484 Kinder Atom - Slow Back (Original Mix).mp3
17025,Foxy Push,Feel Fine,Original Mix,Moonbootique Records,D# minor,,Electronica / Downtempo,beatport-edm,17025 Foxy Push - Feel Fine (Original Mix).mp3
18975,"The Askew, D-Formation",Invisible,D-Formation Remix,Distraekt Records,C minor,,Progressive House,beatport-edm,"18975 The Askew, D-Formation - Invisible (D-Formation Remix).mp3"
19613,"Dum Dum, First Life",One Earth Beat,First Life's Rhythm Of Life Remix,Whoop!,D minor,,Progressive House,beatport-edm,"19613 Dum Dum, First Life - One Earth Beat (First Life's Rhythm Of Life Remix).mp3"
19805,Fred Baker,My Revenge,Original Mix,Magik Muzik,A minor,,Trance,beatport-edm,19805 Fred Baker - My Revenge (Original Mix).mp3
19936,"DJ Ton T.B., DJ Cor Fijneman",Electronic Malfunction,DJ Cor Fijneman's Outstanding Remix,Black Hole Recordings,A minor,,Trance,beatport-edm,"19936 DJ Ton T.B., DJ Cor Fijneman - Electronic Malfunction (DJ Cor Fijneman's Outstanding Remix).mp3"
23309,"Kompressor, The Green Martian",Black Onyx,The Green Martian Remix,Bonzai Back Catalog,B minor,,Trance,beatport-edm,"23309 Kompressor, The Green Martian - Black Onyx (The Green Martian Remix).mp3"
25185,Trisco,Southpaw,Original Mix,Hope Recordings,F minor,,Progressive House,beatport-edm,25185 Trisco - Southpaw (Original Mix).mp3
